task,artifact_bytes,offset,offset_fraction,byte_before,byte_after,outcome,detail
t1-a,116404,64,0.000550,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,128,0.001100,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,192,0.001649,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,256,0.002199,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,320,0.002749,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,384,0.003299,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,448,0.003849,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,512,0.004398,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,576,0.004948,0xff,0xfe,VERIFY_ACCEPTED,
t1-a,116404,640,0.005498,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,704,0.006048,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,768,0.006598,0xff,0xfe,VERIFY_ACCEPTED,
t1-a,116404,832,0.007148,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,896,0.007697,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,960,0.008247,0xff,0xfe,VERIFY_ACCEPTED,
t1-a,116404,1024,0.008797,0xfe,0xff,VERIFY_ACCEPTED,
t1-a,116404,1088,0.009347,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,1152,0.009897,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,1216,0.010446,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,1280,0.010996,0xff,0xfe,VERIFY_ACCEPTED,
t1-a,116404,1344,0.011546,0xfe,0xff,VERIFY_ACCEPTED,
t1-a,116404,1408,0.012096,0xff,0xfe,VERIFY_ACCEPTED,
t1-a,116404,1472,0.012646,0x01,0x00,VERIFY_ACCEPTED,
t1-a,116404,1536,0.013195,0x04,0x05,VERIFY_REJECTED,578286617840584894747266776280728672102870 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1600,0.013745,0x69,0x68,VERIFY_REJECTED,086150419856923312753986520229033702301683 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1664,0.014295,0x60,0x61,VERIFY_REJECTED,507919035721206743856526490724789390599177 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1728,0.014845,0x7a,0x7b,VERIFY_REJECTED,354915965902631711170070888008579548244143 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1792,0.015395,0x57,0x56,VERIFY_REJECTED,442465120058995361011196032427946618822391 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1856,0.015944,0xaf,0xae,VERIFY_REJECTED,175959516725894767319996023881690662671702 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1920,0.016494,0xb6,0xb7,VERIFY_REJECTED,533439368324239546920324657113110068564819 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,1984,0.017044,0xb0,0xb1,VERIFY_REJECTED,282290932194798940111655635037688509968289 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2048,0.017594,0xf5,0xf4,VERIFY_REJECTED,781066113200905336197591205847643152705181 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2112,0.018144,0xa1,0xa0,VERIFY_REJECTED,063463572132987734495355462813823327807789 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2176,0.018694,0x88,0x89,VERIFY_REJECTED,781341803140400199630667815292018591312743 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2240,0.019243,0xc4,0xc5,VERIFY_REJECTED,416916110433857739202643050967877663793829 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2304,0.019793,0x91,0x90,VERIFY_REJECTED,482150578412583276459538971503687748671381 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2368,0.020343,0xcc,0xcd,VERIFY_REJECTED,243219258663135845916295719732389137000540 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2432,0.020893,0xab,0xaa,VERIFY_REJECTED,327785243070193377950954425836272632474059 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2496,0.021443,0x7d,0x7c,VERIFY_REJECTED,742388674582882600894698084350516445177043 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2560,0.021992,0x05,0x04,VERIFY_REJECTED,363076781098232046568943924571477334593170 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2624,0.022542,0x10,0x11,VERIFY_REJECTED,781864688897450932680980406223685466603506 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2688,0.023092,0x0d,0x0c,VERIFY_REJECTED,975589500184189582903835888539232930039469 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2752,0.023642,0x06,0x07,VERIFY_REJECTED,417298975923934596118498757010363255750940 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2816,0.024192,0x05,0x04,VERIFY_REJECTED,690146225058438668683334247757067575923073 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2880,0.024741,0x22,0x23,VERIFY_REJECTED,839544174594551620923374723921113763546649 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,2944,0.025291,0xf3,0xf2,VERIFY_REJECTED,294086873430701277012381257706999105399925 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3008,0.025841,0xe0,0xe1,VERIFY_REJECTED,535280358198592165487744604527035268890056 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3072,0.026391,0xa1,0xa0,VERIFY_REJECTED,154216033918747714223869135315327912301072 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3136,0.026941,0xc0,0xc1,VERIFY_REJECTED,4384685628036 does not match expected claim 8146216144742643057012384539503753007453504788815881470595915413188808267630
t1-a,116404,3200,0.027490,0x38,0x39,VERIFY_REJECTED,4815502736814 does not match expected claim 8814332238178009543974123742824551676040980613094392257517986929950406988435
t1-a,116404,3264,0.028040,0xf5,0xf4,VERIFY_REJECTED,759283905037 does not match expected claim 14103991137847132750369057481058317896067855406662459645114592980701660391695
t1-a,116404,3328,0.028590,0x20,0x21,VERIFY_REJECTED,699330962613799213691210218125215217557784 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3392,0.029140,0x4a,0x4b,VERIFY_REJECTED,s rounds sumcheck output claim: 5766400875331370154127476369244678339856822207765353757864346087176395084088 at round: 0
t1-a,116404,3456,0.029690,0x65,0x64,VERIFY_REJECTED,423290865867362770130067951361864098911515 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3520,0.030240,0xce,0xcf,VERIFY_REJECTED,434496167372607696164418840168990733931879 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3584,0.030789,0xa5,0xa4,VERIFY_REJECTED,075343117025137564594504469752512505728081 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3648,0.031339,0x77,0x76,VERIFY_REJECTED,s rounds sumcheck output claim: 6720010636061793358737616969607951712485393543620817099233411148615722847699 at round: 1
t1-a,116404,3712,0.031889,0x88,0x89,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-a,116404,3776,0.032439,0xc3,0xc2,VERIFY_REJECTED,371531520823061615812611431777304292396357 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3840,0.032989,0x34,0x35,VERIFY_REJECTED,150954782625808745668895445223539918684606 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3904,0.033538,0xd3,0xd2,VERIFY_REJECTED,763687345350551709866339489566410993856502 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,3968,0.034088,0x71,0x70,VERIFY_REJECTED,374847782292237825773442002593244755214576 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,4032,0.034638,0x80,0x81,VERIFY_REJECTED,035526771812423103722801060266131700417865 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,5820,0.049998,0x9e,0x9f,VERIFY_REJECTED,006842847895183230598350803382714117222188 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,11640,0.099997,0xca,0xcb,VERIFY_REJECTED, rounds sumcheck output claim: 20344989301995343618706888326305709355352443741574029780456553470929235100818 at round: 4
t1-a,116404,23281,0.200002,0xd6,0xd7,VERIFY_REJECTED,474968690229172033236206891638040519208447 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,34921,0.299998,0x8b,0x8a,VERIFY_REJECTED, rounds sumcheck output claim: 18535897401247650371929354026068388354061260523024675187704993195820935558248 at round: 1
t1-a,116404,46562,0.400003,0x33,0x32,VERIFY_REJECTED,/Projects/viaas-zkml/bench/data/negative-deepprove/scan-t1-a/probe.postcard[0m Error: Condition failed: `left == right`
t1-a,116404,58202,0.500000,0x50,0x51,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-a,116404,69842,0.599997,0xe8,0xe9,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-a,116404,81483,0.700002,0x00,0x01,VERIFY_REJECTED,"7617063281124104402628162845396648, given: 15911730607871179866594670611729588679401461805888423913987008285051690933276"
t1-a,116404,93123,0.799998,0x00,0x01,VERIFY_REJECTED,173834207158254042558238224418056307007138 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,104764,0.900003,0x48,0x49,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-a,116404,110584,0.950002,0x00,0x01,VERIFY_REJECTED,619556087780110578237425872368932138791355 note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
t1-a,116404,116372,0.999725,0x03,0x02,VERIFY_REJECTED,"N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ShiftCheckTable"
t1-a,116404,116373,0.999734,0x10,0x11,VERIFY_REJECTED,"N3: Requant ctx: fixed point multiplier: 16448, right shift: 21 Caused by: Could not find challenges for ShiftCheckTable"
t1-a,116404,116374,0.999742,0x01,0x00,DESERIALIZE_REJECTED,Error: failed to deserialize proof as either ONNX or LLM format
t1-a,116404,116375,0.999751,0x03,0x02,VERIFY_ACCEPTED,
