task,family,position,detail,verdict
t1-0,proof_byte,12713,xor01_fromb3,VERIFY_REJECTED
t1-0,proof_byte,12714,xor01_fromfc,VERIFY_REJECTED
t1-0,proof_byte,12715,xor01_from12,VERIFY_REJECTED
t1-0,proof_byte,12716,xor01_fromce,VERIFY_REJECTED
t1-0,proof_byte,12717,xor01_from47,VERIFY_REJECTED
t1-0,proof_byte,12718,xor01_from0c,VERIFY_REJECTED
t1-0,proof_byte,12719,xor01_from4c,VERIFY_REJECTED
t1-0,proof_byte,12720,xor01_from18,VERIFY_REJECTED
t1-0,proof_byte,12721,xor01_frombf,VERIFY_REJECTED
t1-0,proof_byte,12722,xor01_fromec,VERIFY_REJECTED
t1-0,proof_byte,12723,xor01_from9f,VERIFY_REJECTED
t1-0,proof_byte,12724,xor01_from94,VERIFY_REJECTED
t1-0,proof_byte,12725,xor01_from9d,VERIFY_REJECTED
t1-0,proof_byte,12726,xor01_from46,VERIFY_REJECTED
t1-0,proof_byte,12727,xor01_from6b,VERIFY_REJECTED
t1-0,proof_byte,12728,xor01_from71,VERIFY_REJECTED
t1-0,proof_byte,12729,xor01_from0b,VERIFY_REJECTED
t1-0,proof_byte,12730,xor01_fromdc,VERIFY_REJECTED
t1-0,proof_byte,12731,xor01_from1f,VERIFY_REJECTED
t1-0,proof_byte,12732,xor01_from6a,VERIFY_REJECTED
t1-0,proof_byte,12733,xor01_fromd8,VERIFY_REJECTED
t1-0,proof_byte,12734,xor01_from7c,VERIFY_REJECTED
t1-0,proof_byte,12735,xor01_fromab,VERIFY_REJECTED
t1-0,proof_byte,12736,xor01_from42,VERIFY_REJECTED
t1-0,proof_byte,12737,xor01_from40,VERIFY_REJECTED
t1-0,proof_byte,12738,xor01_from8f,VERIFY_REJECTED
t1-0,proof_byte,12739,xor01_froma9,VERIFY_REJECTED
t1-0,proof_byte,12740,xor01_from08,VERIFY_REJECTED
t1-0,proof_byte,12741,xor01_fromc6,VERIFY_REJECTED
t1-0,proof_byte,12742,xor01_from9c,VERIFY_REJECTED
t1-0,proof_byte,12743,xor01_fromce,VERIFY_REJECTED
t1-0,proof_byte,12744,xor01_fromed,VERIFY_REJECTED
t1-0,proof_byte,12745,xor01_from32,VERIFY_REJECTED
t1-0,proof_byte,12746,xor01_froma0,VERIFY_REJECTED
t1-0,proof_byte,12747,xor01_from8f,VERIFY_REJECTED
t1-0,proof_byte,12748,xor01_from74,VERIFY_REJECTED
t1-0,proof_byte,12749,xor01_fromd4,VERIFY_REJECTED
t1-0,proof_byte,12750,xor01_from0b,VERIFY_REJECTED
t1-0,proof_byte,12751,xor01_from53,VERIFY_REJECTED
t1-0,proof_byte,12752,xor01_from10,VERIFY_REJECTED
t1-0,proof_byte,12753,xor01_from6b,VERIFY_REJECTED
t1-0,proof_byte,12754,xor01_fromd0,VERIFY_REJECTED
t1-0,proof_byte,12755,xor01_from11,VERIFY_REJECTED
t1-0,proof_byte,12756,xor01_from16,VERIFY_REJECTED
t1-0,proof_byte,12757,xor01_frombe,VERIFY_REJECTED
t1-0,proof_byte,12758,xor01_fromc1,VERIFY_REJECTED
t1-0,proof_byte,12759,xor01_from0d,VERIFY_REJECTED
t1-0,proof_byte,12760,xor01_from19,VERIFY_REJECTED
t1-0,proof_byte,12761,xor01_from66,VERIFY_REJECTED
t1-0,proof_byte,12762,xor01_fromfa,VERIFY_REJECTED
t1-0,proof_byte,12763,xor01_fromc1,VERIFY_REJECTED
t1-0,proof_byte,12764,xor01_from32,VERIFY_REJECTED
t1-0,proof_byte,12765,xor01_from9c,VERIFY_REJECTED
t1-0,proof_byte,12766,xor01_fromfb,VERIFY_REJECTED
t1-0,proof_byte,12767,xor01_from47,VERIFY_REJECTED
t1-0,proof_byte,12768,xor01_fromf2,VERIFY_REJECTED
