task,family,position,detail,verdict
t1-0,proof_byte,14848,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,14912,xor01_from40,VERIFY_REJECTED
t1-0,proof_byte,14976,xor01_from223,VERIFY_REJECTED
t1-0,proof_byte,15040,xor01_from222,VERIFY_REJECTED
t1-0,proof_byte,15104,xor01_from215,VERIFY_REJECTED
t1-0,proof_byte,15168,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,15232,xor01_from164,VERIFY_REJECTED
t1-0,proof_byte,15296,xor01_from116,VERIFY_REJECTED
t1-0,proof_byte,15360,xor01_from156,VERIFY_REJECTED
t1-0,proof_byte,15424,xor01_from118,VERIFY_REJECTED
t1-0,proof_byte,15488,xor01_from43,VERIFY_REJECTED
t1-0,proof_byte,15552,xor01_from15,VERIFY_REJECTED
t1-0,proof_byte,15616,xor01_from75,VERIFY_REJECTED
t1-0,proof_byte,15680,xor01_from28,VERIFY_REJECTED
t1-0,proof_byte,15744,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,15808,xor01_from21,VERIFY_REJECTED
t1-0,proof_byte,15872,xor01_from159,VERIFY_REJECTED
t1-0,proof_byte,15936,xor01_from33,VERIFY_REJECTED
t1-0,proof_byte,16000,xor01_from193,VERIFY_REJECTED
t1-0,proof_byte,16064,xor01_from243,VERIFY_REJECTED
t1-0,proof_byte,16128,xor01_from72,VERIFY_REJECTED
t1-0,proof_byte,16192,xor01_from228,VERIFY_REJECTED
t1-0,proof_byte,16256,xor01_from182,VERIFY_REJECTED
t1-0,proof_byte,16320,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,16384,xor01_from112,VERIFY_REJECTED
t1-0,proof_byte,16448,xor01_from44,VERIFY_REJECTED
t1-0,proof_byte,16512,xor01_from146,VERIFY_REJECTED
t1-0,proof_byte,16576,xor01_from235,VERIFY_REJECTED
t1-0,proof_byte,16640,xor01_from226,VERIFY_REJECTED
t1-0,proof_byte,16704,xor01_from51,VERIFY_REJECTED
t1-0,proof_byte,16768,xor01_from173,VERIFY_REJECTED
t1-0,proof_byte,16832,xor01_from44,VERIFY_REJECTED
t1-0,proof_byte,16896,xor01_from247,VERIFY_REJECTED
t1-0,proof_byte,16960,xor01_from133,VERIFY_REJECTED
t1-0,proof_byte,17024,xor01_from4,VERIFY_REJECTED
t1-0,proof_byte,17088,xor01_from234,VERIFY_REJECTED
t1-0,proof_byte,17152,xor01_from217,VERIFY_REJECTED
t1-0,proof_byte,17216,xor01_from133,VERIFY_REJECTED
t1-0,proof_byte,17280,xor01_from36,VERIFY_REJECTED
t1-0,proof_byte,17344,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,17408,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,17472,xor01_from118,VERIFY_REJECTED
t1-0,proof_byte,17536,xor01_from56,VERIFY_REJECTED
t1-0,proof_byte,17600,xor01_from6,VERIFY_REJECTED
t1-0,proof_byte,17664,xor01_from170,VERIFY_REJECTED
t1-0,proof_byte,17728,xor01_from30,VERIFY_REJECTED
t1-0,proof_byte,17792,xor01_from54,VERIFY_REJECTED
t1-0,proof_byte,17856,xor01_from13,VERIFY_REJECTED
t1-0,proof_byte,17920,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,17984,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,18048,xor01_from63,VERIFY_REJECTED
t1-0,proof_byte,18112,xor01_from60,VERIFY_REJECTED
t1-0,proof_byte,18176,xor01_from237,VERIFY_REJECTED
t1-0,proof_byte,18240,xor01_from124,VERIFY_REJECTED
t1-0,proof_byte,18304,xor01_from40,VERIFY_REJECTED
t1-0,proof_byte,18368,xor01_from75,VERIFY_REJECTED
t1-0,proof_byte,18432,xor01_from53,VERIFY_REJECTED
t1-0,proof_byte,18496,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,18560,xor01_from74,VERIFY_REJECTED
t1-0,proof_byte,18624,xor01_from138,VERIFY_REJECTED
t1-0,proof_byte,18688,xor01_from71,VERIFY_REJECTED
t1-0,proof_byte,18752,xor01_from118,VERIFY_REJECTED
t1-0,proof_byte,18816,xor01_from140,VERIFY_REJECTED
t1-0,proof_byte,18880,xor01_from198,VERIFY_REJECTED
t1-0,proof_byte,18944,xor01_from92,VERIFY_REJECTED
t1-0,proof_byte,19008,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,19072,xor01_from182,VERIFY_REJECTED
t1-0,proof_byte,19136,xor01_from100,VERIFY_REJECTED
t1-0,proof_byte,19200,xor01_from128,VERIFY_REJECTED
t1-0,proof_byte,19264,xor01_from231,VERIFY_REJECTED
t1-0,proof_byte,19328,xor01_from154,VERIFY_REJECTED
t1-0,proof_byte,19392,xor01_from255,VERIFY_REJECTED
t1-0,proof_byte,19456,xor01_from147,VERIFY_REJECTED
t1-0,proof_byte,19520,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,19584,xor01_from170,VERIFY_REJECTED
t1-0,proof_byte,19648,xor01_from106,VERIFY_REJECTED
t1-0,proof_byte,19712,xor01_from151,VERIFY_REJECTED
t1-0,proof_byte,19776,xor01_from142,VERIFY_REJECTED
t1-0,proof_byte,19840,xor01_from60,VERIFY_REJECTED
t1-0,proof_byte,19904,xor01_from222,VERIFY_REJECTED
t1-0,proof_byte,19968,xor01_from248,VERIFY_REJECTED
t1-0,proof_byte,20032,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,20096,xor01_from52,VERIFY_REJECTED
t1-0,proof_byte,20160,xor01_from1,VERIFY_REJECTED
t1-0,proof_byte,20224,xor01_from122,VERIFY_REJECTED
t1-0,proof_byte,20288,xor01_from186,VERIFY_REJECTED
t1-0,proof_byte,20352,xor01_from9,VERIFY_REJECTED
t1-0,proof_byte,20416,xor01_from111,VERIFY_REJECTED
t1-0,proof_byte,20480,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,20544,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,20608,xor01_from106,VERIFY_REJECTED
t1-0,proof_byte,20672,xor01_from107,VERIFY_REJECTED
t1-0,proof_byte,20736,xor01_from190,VERIFY_REJECTED
t1-0,proof_byte,20800,xor01_from131,VERIFY_REJECTED
t1-0,proof_byte,20864,xor01_from126,VERIFY_REJECTED
t1-0,proof_byte,20928,xor01_from216,VERIFY_REJECTED
t1-0,proof_byte,20992,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,21056,xor01_from23,VERIFY_REJECTED
t1-0,proof_byte,21120,xor01_from101,VERIFY_REJECTED
t1-0,proof_byte,21184,xor01_from92,VERIFY_REJECTED
t1-0,proof_byte,21248,xor01_from166,VERIFY_REJECTED
t1-0,proof_byte,21312,xor01_from113,VERIFY_REJECTED
t1-0,proof_byte,21376,xor01_from168,VERIFY_REJECTED
t1-0,proof_byte,21440,xor01_from144,VERIFY_REJECTED
t1-0,proof_byte,21504,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,21568,xor01_from46,VERIFY_REJECTED
t1-0,proof_byte,21632,xor01_from13,VERIFY_REJECTED
t1-0,proof_byte,21696,xor01_from163,VERIFY_REJECTED
t1-0,proof_byte,21760,xor01_from106,VERIFY_REJECTED
t1-0,proof_byte,21824,xor01_from106,VERIFY_REJECTED
t1-0,proof_byte,21888,xor01_from98,VERIFY_REJECTED
t1-0,proof_byte,21952,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,22016,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,22080,xor01_from164,VERIFY_REJECTED
t1-0,proof_byte,22144,xor01_from83,VERIFY_REJECTED
t1-0,proof_byte,22208,xor01_from21,VERIFY_REJECTED
t1-0,proof_byte,22272,xor01_from144,VERIFY_REJECTED
t1-0,proof_byte,22336,xor01_from3,VERIFY_REJECTED
t1-0,proof_byte,22400,xor01_from81,VERIFY_REJECTED
t1-0,proof_byte,22464,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,22528,xor01_from138,VERIFY_REJECTED
t1-0,proof_byte,22592,xor01_from111,VERIFY_REJECTED
t1-0,proof_byte,22656,xor01_from252,VERIFY_REJECTED
t1-0,proof_byte,22720,xor01_from78,VERIFY_REJECTED
t1-0,proof_byte,22784,xor01_from171,VERIFY_REJECTED
t1-0,proof_byte,22848,xor01_from197,VERIFY_REJECTED
t1-0,proof_byte,22912,xor01_from235,VERIFY_REJECTED
t1-0,proof_byte,22976,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,23040,xor01_from208,VERIFY_REJECTED
t1-0,proof_byte,23104,xor01_from154,VERIFY_REJECTED
t1-0,proof_byte,23168,xor01_from83,VERIFY_REJECTED
t1-0,proof_byte,23232,xor01_from248,VERIFY_REJECTED
t1-0,proof_byte,23296,xor01_from107,VERIFY_REJECTED
t1-0,proof_byte,23360,xor01_from223,VERIFY_REJECTED
t1-0,proof_byte,23424,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,23488,xor01_from71,VERIFY_REJECTED
