size,log_inv_rate,rep,span,bucket,subbucket,self_nanos,hits
2048,1,3,"Variable-base product check",d,d_prodcheck,133926,1
2048,1,3,"shift_operator_table",d,d_shift_multilinear_build,46583,2
2048,1,3,"Commit pushforwards",d,d_phase_glue,1751,1
2048,1,3,"FRI Initial Fold",d,d_fri_codeword_fold,678083,1
2048,1,3,"Open pushforward relations",d,d_phase_glue,117834,1
2048,1,3,"FRI Fold",d,d_fri_codeword_fold,3708,2
2048,1,3,"[phase] PCS Opening",d,d_phase_glue,6542,1
2048,1,3,"Fold univariate round",a,a_sumcheck_fold,917500,1
2048,1,3,"[phase] Shift Reduction",d,d_phase_glue,23873,1
2048,1,3,"Commit witness",d,d_commit_glue,1500,1
2048,1,3,"Batched selector + C-root sumcheck",a,a_sumcheck_driver,72120,1
2048,1,3,"Merkle commit",b1,b1_merkle_commit_glue,5749,2
2048,1,3,"Combined GKR",a,a_sumcheck_driver,329158,1
2048,1,3,"logup* pushforward reduction",a,a_sumcheck_driver,69000,1
2048,1,3,"prover_phase_1",d,d_phase_glue,7291,1
2048,1,3,"Prove",d,d_prove_root,268836,1
2048,1,3,"[phase] IntMul check",d,d_phase_glue,718294,1
2048,1,3,"Reduce linear relations to committed openings",d,d_basefold_glue,13293,1
2048,1,3,"Expand evaluation suffix query",d,d_tensor_expand,5958,2
2048,1,3,"Regather per-limb evals",d,d_evals,5835833,1
2048,1,3,"Compute univariate LDE table",a,a_univariate_round,90833,1
2048,1,3,"Batched constant-base prodcheck",d,d_prodcheck,7661082,1
2048,1,3,"Build logup* witnesses",d,d_witness_prep,7894417,1
2048,1,3,"Prepare witness",d,d_witness_prep,104917,1
2048,1,3,"Compute univariate round message",a,a_univariate_round,2756125,1
2048,1,3,"Compute ring-switching partial evaluations",d,d_ring_switch,1960166,2
2048,1,3,"e001_merkle_inner_nodes",b1,b1_merkle_inner_nodes,1555333,5
2048,1,3,"IntMul phase2 (Frobenius twist)",d,d_intmul_phase2,49125,1
2048,1,3,"Final batched sumcheck",a,a_sumcheck_driver,17333,1
2048,1,3,"MLE-check remaining rounds",a,a_sumcheck_driver,9790,1
2048,1,3,"Compute output bit evals",d,d_evals,3249208,1
2048,1,3,"Compute ring-switching equality indicator",d,d_ring_switch,1330708,2
2048,1,3,"FRI Round Fold",d,d_fri_codeword_fold,918,2
2048,1,3,"Compute base layer partial evals",d,d_prodcheck,5889875,1
2048,1,3,"[phase] BitAnd check",d,d_phase_glue,7708,1
2048,1,3,"build_monster_segments",d,d_shift_multilinear_build,8020208,1
2048,1,3,"Compute fixed-base prodcheck layers",d,d_prodcheck,10306042,1
2048,1,3,"Build IntMul witness",d,d_witness_prep,6000,1
2048,1,3,"e001_sumcheck_execute",a,a_sumcheck_round_poly,145035876,473
2048,1,3,"Evaluate exponent root",d,d_evals,150708,1
2048,1,3,"Basefold MLE-check ZK (batched)",a,a_sumcheck_driver,552084,1
2048,1,3,"Reed–Solomon Encode",d,d_ntt_encode,3750,2
2048,1,3,"logup* reduction",d,d_phase_glue,11709,1
2048,1,3,"Expand tensor queries",d,d_tensor_expand,461083,1
2048,1,3,"hash_leaves",b1,b1_merkle_leaf_hash,6038168,5
2048,1,3,"fri::FRIFolder::finalize",d,d_fri_finalize,166,1
2048,1,3,"Assemble columns",d,d_column_assembly,5600292,2
2048,1,3,"Merkle Tree",b1,b1_merkle_commit_glue,2417,3
2048,1,3,"logup* (committed)",d,d_phase_glue,7623,1
2048,1,3,"Gather lookup index columns",d,d_column_assembly,348833,1
2048,1,3,"run_sumcheck",a,a_sumcheck_driver,2097754,2
2048,1,3,"Build fracadd circuits",d,d_prodcheck,7220083,1
2048,1,3,"Fold index columns by rho",a,a_sumcheck_fold,3986000,1
2048,1,3,"Compute variable-base prodcheck layers",d,d_prodcheck,60970291,1
2048,1,4,"Final batched sumcheck",a,a_sumcheck_driver,13289,1
2048,1,4,"Expand tensor queries",d,d_tensor_expand,467167,1
2048,1,4,"Compute batched witness",d,d_basefold_glue,793833,1
2048,1,4,"prove_phase_2",d,d_phase_glue,932501,1
2048,1,4,"Variable-base product check",d,d_prodcheck,91575,1
2048,1,4,"Build fracadd circuits",d,d_prodcheck,6799459,1
